person	response
병원에 가보니 간암이래.조금더 일찍 치료할 걸 그랬어.	정말 안됬어요.예전에 검사를 받으셨나요?
집에 아무도 없는데 협심증 전조 증상이 느껴져.	많이 불안하신 것 같아요.
오늘 차를 타고 가다가 사고가 나서 병원신세를 지게됐어. 아내를 걱정시키게되서 너무 미안하고 병원비 많이들고. 참 힘들다.	지출이 많아서 힘드시겠어요. 하지만 건강이 무엇보다 중요하다는 사실 알고계시죠? 아내분도 그렇게 생각하고 계실거에요.
친구란거 나이들면 필요 없는 거야.	왜 친구가 필요없죠?
아파트 대출을 모두 상환해서 정말 기뻐. 	대출을 모두 상환하셨다니 좋으시겠어요.
지금껏 살아오면서 내 얘기 할 상대가 없어 너무 슬퍼.	얘기할 만한 상대가 없어 슬프시겠군요.
아내가 죽기 전에 잘 할 걸.	아내분의 죽음 이후로 후회하시는군요.
자식들과 여행을 가기로 했는데 일정이 너무 빡빡하고 내 취향과 안 맞아.	자식들과 여행 스타일이 맞지 않아서 성가시겠어요. 조금 더 자세히 말씀해 주시겠어요?
내 주식은 망하고 김 영감 주식은 대박이 나서 화가 나.	자신보다 득을 더 본 김 영감 때문에 화가 나시겠어요.
친구들이 나를 떠났어. 내 스스로가 한심해 보여.	대인관계 때문에 스스로 한심하다고 느끼시는군요.
고혈압 때문에 내가 싫어하는 싱거운 식사를 하는 것은 이제 익숙해졌어.	이제는 좋아하는 것보다 당연한 것들에 익숙해지셨군요.
아프리카 애들을 보면 죄책감이 들어.	아프리카 애들을 보셨나요?
만성질환으로 노인 요양병원에 입원 해는데 충격을 받았어.	무슨 충격을 받으셨나요.
요양원에 함께 지내는 노인들 성깔이 사나워서 스트레스야.	함께 지내는 노인들 성깔이 사나워서 스트레스시군요.
도시에서 의 삶이 너무 지쳐서 시골에 정착했는데 벌써부터 건강해지는 기분이 들어.	시골에 정착해 생활하는 것이 좋다고 생각하시는군요.
인간관계 맺기가 두려워.	그렇게 생각하시는 이유가 있나요?
지금 살고 있는 집이 무너질까 봐 이사를 하고 싶은데 돈이 부족해서 불안해.	이사를 하고 싶은데 돈이 부족하시군요. 불안하시겠어요.
화재 사고로 그 아이가 부모를 모두 잃었다고 하지 뭐니? 불쌍해서 어쩌니.	측은한 감정을 느끼고 있네요. 어떻게 하고 싶으세요?
내가 지금 몸이 많이 안좋아서 약 값으로 돈이 많이 나가.	상심이 크시겠어요.
시어머니가 계실 때 챙겨드리지 못해 죄책감이 들어.	많이 챙겨드리지 못해 죄책감을 느끼시는군요.
독감에 걸렸지만 병원비가 아까워서 꾹 참고 잠을 잤어.	돈 때문에 아픔을 감수하는 것이 정말 힘들겠어요.
건강이 안좋아 병원에 가야하는데 치료비가 없어 걱정이야.	돈이 부족하셔서 큰일이네요. 어떻게 병원비를 마련하실 생각이신가요?
남편은 화가 나면 상을 뒤엎어.	남편이 화 나면 상을 뒤엎으시다니 속상하시겠어요. 다친 곳은 없으신가요?
내가 가지고 있는 돈을 모두 기부하려해	정말 좋은 일을 하시네요.
아내는 나와 다르게 아픈 곳이 없는 걸 보니 동년배 중에서는 제일 건강할 거야.	사용자님은 어디가 아프세요? 아내 분은 동년배 중에서는 제일 건강하실 거예요.
돈이 없으니까 남 시선이 신경쓰여.	돈이 많이 모자라세요?
언제 죽을지 너무 불안해.	건강이 많이 안좋으신가봐요.
내 건강에 대해 회의감이 들어.	왜 그러세요?
아들 결혼 자금을 거의 보태주지 못해서 그런지 사돈댁에서 우리 집을 무시하네.	아드님 결혼 자금을 보태주지 못하셔서 사돈댁에서 무시를 당하셨군요. 마음에 상처가 되셨겠어요.
요즘 사람을 못 만나서 우울해.	왜 안 만나세요?
앞으로 병원비가 걱정이야.	걱정이 있으시군요.
내가 길을 지나갈 때면 모든 사람들이 나를 조롱하는 듯한 기분이 들어.	길을 지나갈 때 다른 사람들이 조롱하는 듯한 기분이 들어 두려우시군요.
내가 가난하다고 무시하고 다녔던 친구가 건물주가 되었데 그래서 축하의 기념으로 지인들만 따로 불러서 여행비용을 내줬데나봐.	어머 정말요? 많이 놀라셨을거 같아요.
어제 죽을뻔하다가 살아났어.	아 정말 천만다행이네요. 근데 무슨 일이 생겼어요?
친구와 통화후에 마음이 계속 불편한거야.	무슨 통화를 하셨나요?
내가 어떻게 살았는지 모르겠어. 친구가 없네.	많이 외롭겠어요. 어떤 좋은 방법을 생각해 두셨나요?
이웃이 주식 정보를 줬어.	어떻게 하실 생각이세요?
건강이 나빠져서 내 모습이 혐오스러워.	건강 문제로 괴로우시겠어요.
손자들이 내가 발작하는 모습을 보고 놀란 것 같아서 당황스럽고 미안해.	발작하는 모습을 손자 분들이 보고 놀란 것이 당황스러우시군요.
성격이 좋은 사람들은 대부분 금전적 여유가 있어서 그래.	금전적 여유가 있어서 마음의 여유가 있다고 생각하시군요.
건강관리가 이젠 혐오스러워.	건강문제에 혐오를 느끼시는군요.
자식들이 나보고 요양원에 들어가래. 돈이야 평생 지원해주겠다고. 서러워서 말이 안나와.	자식들에게 이해받지 못하는 것 같아 많이 속상하시겠어요.
일을 열심히 해도 수입이 적어.	어떤 일을 하세요?
살면서 나마 희생하는 기분이야.	어떤 면에서요?
건강 이야기를 하다가 너무 흥분했어.	무슨 일 있으셨어요?
영수가 만수에게 내 흉을 봤지 뭐야. 정말 화가 나.	정말 화가 나실 법 하네요.
은퇴하고 만성질환이 있지만 큰 걱정은 안해.	걱정을 왜 안 하시나요.
건강이 정말 나빠지고 있어.	어쩌다 그런 생각을 하셨나요?
이번 달은 카드값이 너무 많이 나왔어.	카드값이 예상보다 많이 나왔군요.
내가 뭘 하나 살 때도 집에서 일일이 확인해서 눈치가 보여. 성가셔 죽겠어.	조금 더 자세히 말씀해 주시겠어요?
내가 심근경색이 있다는데 아무래도 나을 수 있을 것 같아.	건강에 자신이 있어 보이세요.
복지관에서 내가 독거노인 이라며 도시락과 생필품도 보내주고 요양 보호사도 보내주더군.	도움을 받고 계셔서 감사 하시겠어요.생활에 많은 도움이 되시는 건가요?
돈이 없으니 친구들한테 먼저 연락하기도 힘드네. 	재정적으로 힘든 상황이시군요.
큰아들이 병문안을 오는 날인데 꽃단장을 할 거야.	큰아들이 와서 신이 나셨군요.
삼개월 전에 치주염이란걸 치료를 하고 이번에 스케일링을 하니 상쾌하더라구.	치주염이 치료되셨다니 축하드려요! 스케일링을 하고 상쾌하다 느껴지는 경험을 하셨나요?
아파서 입원한 나한테 아들이 와서 유산을 빨리 달라고 닦달했어. 너무 충격적이고 눈물이 나와.	무심한 아드님의 행동 때문에 속상하시겠군요.
아니 글쎄 이놈의 자식들은 나를 보면 아직도 못 잡아먹어서 안달이야.	네?? 무슨일이에요?? 못 잡아먹어서 안달이라니요?
치과의 과잉 진료로 안 해도 되는 임플란트까지 하게 되어 큰돈을 지불했어.	과잉 진료 때문에 임플란트를 하게 되어 큰돈을 지불하게 되셨군요.
요새 정말 감사하게 살고 있어.	무슨 일이 있으셨나요?
암과 싸우는 것도 이젠 지치네.	암 투병을 하느라 많이 지치신 것처럼 보여요.
은퇴후 사람을 만나기가 무섭고 결심이 쉽게 흔들려.	마음이 많이 힘드시겠어요.
아내의 기일인데 자식들이 각자 일 때문에 오지 않아 아내가 슬퍼할 거 같아 나도 슬프다.	아내의 기일인데 자식들 때문에 슬프시겠군요.
요즘엔 건강이 나쁜게 자기 관리를 잘못했다는 반증인 것 같아서 주변 사람들 눈치가 보여.	주변에서 뭐라고 하는 사람들이 있나요?
며느리가 생일선물로 쓸데없는 걸 사왔어. 이런 걸 왜 괜히 사오나 몰라!	필요 없는 물건을 받아 속상하셨군요.
당뇨 진단을 받은 후 피부에 검은 점이 거뭇거뭇하게 자꾸 생기는 것을 보면 속상해.	당뇨 진단 후 몸의 변화로 인해 속상하시군요.
친구 주병이가 술 값으로 십 원 단위까지 나눠. 이상하지 않아?	돈 관리는 중요하지만 이상하군요. 앞으로 어떻게 하실 건가요?
내가 늙어서까지 살아서 고생하게 만든다고 말하네. 속상해.	그런 말을 듣다니 속상하시겠어요.
주변에 가까운 친구가 건강이 안 좋아졌어. 이제 건강이 불안하고 무서운 나이가 된 것 같아.	친구분 건강이 안 좋아졌나 보군요.
치매 때문에 혹시 몰라서 미리 실종 방지 팔찌를 착용시켰어. 솔직히 기분이 나빠.	실종 방지 팔찌를 착용하셔서 기분이 좋지 않으시군요. 더 자세히 말씀해주시겠어요?
혹시 모르니 보험은 있어야 겠지?	무슨일 말씀이신지 모르겠어요. 조금 더 자세히 말씀해주세요.
건강검진 받으려고 병원에 갔는데 다른 사람들은 다 보호자가 같이 왔더라.	그랬군요. 보호자가 없었나요?
어릴때부터 큰손주를 키우다싶이 했는데 요즘 큰손주가 나를 보면 데면데면하네	큰손주가 데면데면 하는군요. 많이 서운하시겠어요..
언니가 내 고혈압에 대해서 너무 사사건건 참견해.	언니가 사사건건 참견해서 힘드시겠어요.
친구 놈이 갑자기 쓰러졌어.	무슨 일인지 자세히 말씀해보세요.
나는 술과 담배를 안 하지만 건강은 유전자의 영향이 큰 거 같아.	좋은 유전자를 물려받아서 좋으시겠어요! 부러워요.
무릎이 아파 예민해져서 오랜만에 온 아들에게 화를 냈어.	몸이 아파서 아들에게 화를 냈군요.
남편이 이혼을 하자고 해서 했는데 이혼하자마자 자살을 했어. 너무 충격적이야.	남편이 자살을 해서 충격 받으셨군요.
새로 들어온 인턴이 일처리도 너무 못하고. 하여튼 마음에 드는 구석이 없어.	일처리를 제대로 안 하면 많이 싫으실 거 같아요.
속이 쓰리다는 아내가 꾀병이다고 생각했는데 병원에서 위암초기진단을 받아 당솽스러워.	아내가 꾀병부린다고 생각했는데 병이라니 무척 죄지은 느낌이 들었겠네요.
은퇴가 얼마 안 남았는데 아직 아들이 취직을 하지 않았어. 그래서 은퇴 후가 더 걱정돼.	아직 아들이 취직을 하지 않아서 은퇴 후가 더 걱정되시는군요.
정말 혼란스러워.	무슨 일이신가요.
남편에게 매일 아침마다 영양제를 챙겨줘도 남편은 귀찮아해.	남편 분에게 영양제를 챙겨줘도 남편 분은 귀찮아하셔서 서운하시겠어요.
술은 내 삶의 낙이야 술을 끊으라고 하면 살 이유가 없어.	술을 끊어야 되는 상황이 와서 힘드시군요.
어제 와이프가 졸혼을 선언했어. 요즘 뭔가 화를 내더니 완전히 마음이 돌아선 모양이야.	아내분의 졸혼 선언이라니 충격이 크시겠어요. 어떻게 하실 생각이세요?
취객이 길거리에서 연약한 날 미치고 지나갔어	취객이 길거리에서 나를 밀치고 지나갔군요. 안다쳤어요?
내일 임원들에게 중요한 보고가 있는데 야근 중에 친척 장례식에 참석하라고 연락이 와서 당황스러웠어.	야근 중에 친척 장례식에 참석하라고 연락받으셨군요. 내일 중요한 보고가 있는데 당혹스러우시겠어요.
요새 주식 때문에 행복하고 편한 느낌이 들어. 이제 느긋하기 노년을 즐길 수 있겠어.	주식 때문에 느긋한 노년을 보낼 기대에 행복하시군요. 구체적으로 어떤 일이 있으신 건지 말씀해주실 수 있으신가요?
옆 가게는 주인이 아파서 가게도 잘 안여는데 열때마다 장사가 잘돼.	옆가게가 항상 잘돼서 부러우신가요?
내일 병원에서 퇴원하게 됐어.	축하드려요! 정말 다행이에요.
우리 할멈이 나이 먹고도 아직도 그렇게 고와.	부인 분이 아직도 예쁘신가봐요.
건강하지 못해서 짜증나.	왜 그러세요?
세상에. 마늘 좀 봐. 이렇게 크고 단단하다니. 마늘 값도 많이 올라서 이번 해는 돈을 좀 벌었어. 좋구나.	수익이 많아져서 기분이 좋으셨겠어요.
동생이 건강검진을 받았는데 암이래.	너무 낙담하셨을것 같아요.
이 나이에도 병이 하나 없어서 참 감사해.	평소 건강 관리를 잘 하셨나 보군요.
무릎 수술하고 나서 이젠 손녀랑 산책할 수 있게 돼서 너무 기쁘다.	가벼운 몸으로 손녀와 시간을 보낼 수 있어서 기쁘시군요.
대인관계가 당혹스러워.	어떤 이유인가요?
손자와 함께 산책하러 나갔는데 잠시 한눈을 판 사이 손자가 보이지 않아 초조해.	산책하러 갔다가 손자를 못 찾아서 초조하시군요.
나이 먹으니 건강이 나빠지면 초조해.	어디가 아프신가요?
사람들에게 무시당하고 싶지 않아서 브랜드 옷이 아니면 입고 나가고 싶지가 않아.	사람들의 시선 때문에 브랜드 있는 옷만 입고 밖에 나가고 싶으시군요.
나이가 들어서 지출이 많은데 딸이 결혼을 한다고 돈을 보태달래. 당황스러워.	딸의 요청에 당황스러우시겠군요.
내가 병원비 걱정이 큰데 자식들한테 병원비 얘기를 꺼낼 때마다 다른 얘기를 하는 거 있지.	크게 걱정되실 텐데 많이 힘드셨겠어요.
나이가 들고 돈도 없으니 고립된 생활을 할 수 밖에 없나봐.	왜 그런 생각을 하시는걸까요?
친구에게 보증을 서주었다가 사기를 당한 뒤에 우리 가족의 재정 형편이 힘들어졌어.	보증을 섰다가 사기를 당하셨군요. 마음이 정말 힘드시겠어요.
이번에 동창회를 했는데 친했던 친구들이 다들 하나같이 잘 살고 있어서 너무 좋아.	그렇군요 다행이네요.
건강적으로 고립된 기분이야.	왜 그러세요?
일흔이 다 되니 주변에서 좋은 소식보다는 슬픈 소식들만 들리는 것 같아서 슬퍼.	마음이 많이 안 좋으시겠어요.
당장 내일 평생 앓던 관절염 치료를 해야 하는데 치료비가 없어.	걱정이 많으시겠어요. 치료비를 구할 다른 방법은 없나요?
옆집 노인이 빌린 백만 원을 갚지도 않은 채 떠나버렸어. 버려진 것만 같아.	너무 슬프시겠어요. 어떻게 버림받았다는 감정을 느끼셨나요?
노년이면서 자꾸 젊은 친구들이랑 어울리기 위해 돈을 쓰는 친구를 보면 짜증 나.	철없이 구는 친구가 마음에 안 드시나보죠.
참 승승장구하던 친구였는데. 중풍으로 퇴사를 하다니 참 사람 일 몰라.	친구가 중풍으로 퇴사를 하게 되어 걱정스러우시군요.
은퇴하고 건강관리를 열심히 했는데 만성 당뇨가 합병증으로 왔어.	건강이 안 좋아지셨군요.
항상 고혈압때문에 약을 달고 사는데 돈이 너무 많이 들어.	병원비가 많이 들어서 스트레스 받으셨겠어요. 몸은 괜찮으세요?
뇌졸중으로 반신불수가 됐는데 자식들이 나를 부양하지 않겠다고 했어.	자식들이 부양하지 않아서 배신감도 느껴지고 많이 속상하시겠어요.
동창회에서 내가 고혈압으로 쓰러져서 그런지 안 친했던 친구들까지 병문안을 와 당황스럽단다.	동창회에서 쓰러진 이후로 친밀감이 다소 낮은 친구분들도 찾아오시는군요.
자녀가 결혼해서 분가하는데 경제적 도움을 주지 못하니 죄책감이 들어.	자녀가 결혼해서 분가하는데 경제적 도움을 주시지 못하면 죄책감이 드실 수 있겠네요. 자녀분과 대화를 하셨겠네요?
건강에 환멸이 나.	왜 그러세요?
이 나이까지 살아있는 목적을 잃어버린 지 오래됐어.	늙어서 살아가는 목적을 잃어버린 지 오래여서 슬프시겠어요.
사업실패로 스트레스를 받았던 나에게 내려진 결과가 간암 말기라니 두통수 맞은 기분이야.	간암 이란 말에 상심이 크겠어요.
병원에서 친하게 지내던 환자가 암으로 죽어서 너무 슬퍼.	친한 사람의 죽으로 인해 마음이 아프시군요.
나이가 들어서 자주 아프니 사는게 힘들어.	연세가 드시고 자주  아프시니 힘드시겠어요.
나이가 너무 먹어서 기초 연금 외에는 돈을 얻을 길이 없어.	노년에 수입을 얻을 길이 없어 막막하신 듯 하네요. 걱정이 많이 될 거 같아요.
돈에 너무 안달나.	왜 그러세요?
남편과 내가 모두 열심히 일해도 돈을 많이 벌지 못해 불안해.	열심히 일해도 돈을 많이 벌지 못한다고 생각해 불안하시군요.
내 재정상태를 보면 너무 화가 나.	왜 그러세요?
나만 가난해서 친구들 만나기가 부끄럽네.	친구들이 뭐라고 했나요?
사람들은 왜 그렇게 건강에 대해 걱정할까?	건강에 대해 다들 걱정하군요.
아내가 나와 사는 것도 이제 지긋지긋하다고 말했어.	기분이 안좋으셨겠네요.아내한테 뭐라 말씀하셨어요?
그 친구 살아있을때나 많이 만나 볼껄 후회가 돼.	무슨일 있으셨어요?
건강을 유지하고 죽지 않기 위해 국가검진받아야 해.	건강관리 하려면 검진 받는게 좋을거 같아요.
친구랑 여행을 가기로 했어.	정말 신이 나시겠네요.
혼자서 쓸쓸히 죽게 될까봐 두려워.	혼자라서 걱정이 되시나봐요.
왜 사람은 고쳐 쓰지 못한다는 말이 있잖아. 빚보증 서게 하고 빌려 간 돈도 갚지 않아 그렇게 미안하다고 하더니 남편 친구가 또 손을 벌리네.	남편 친구분께서 또 손을 벌리시는 건가요?
요즘 경제도 어렵고 건강이 더 걱정되고 노후도 걱정돼.	그라도 열심히 사시잖아요.
싸웠던 친구하고 화해해서 요즘 기분이 좋아.	친구분하고 사이가 다시 좋아졌군요.
어제 기원에서 동갑내기 친구를 만났는데 정말 좋은 친구가 될수 있을지 걱정이야.	친구를 사귀는것에 대해 조심스러우시군요. 어떻게 관계를 이어가실 계획이세요?
몸도 아프고 재정도 바닥인데 아들이 계속 도와달라고 귀찮게해.	아드님이 도와달라고 해서 귀찮으셨군요.
환갑을 넘기면서 점점 고립되는거 같아.	어떤 부분이 고립이 되신다는건가요?
평소 친하다고 생각했던 사람에게 억울한 말을 듣고 나니 너무 슬퍼.	억울한 말을 들으니 참으로 슬프겠군요. 그래서 어떻게 하기로 하셨나요?
자식들이 결혼한다고 돈을 좀 보태달라네?	자식분들이 결혼을 하는군요.
아들이 아픈 나를 위해 수술비를 마련하겠다고 친구에게 사기를 쳤어. 참 한심해.	친구에게 사기를 친 아들이 한심하게 느껴지시겠어요.
돈 상태가 비참해.	왜 그러세요?
내가 이번에 큰돈을 잃어서 고생을 하는데도 자식들이 도움을 하나도 안 줘서 화가 나.	경제적으로 어려운데도 자식들이 도움을 안 줘서 화가 많이 나셨겠어요.
항암치료비를 마련할 수 있게되어서 만족스러워. 다행히 딜러가 값 높게 쳐준대.	다행이네요. 어떤 걸 거래하시려는 건가요?
계를 들고 있었는데 박 씨 할머니가 그 돈을 가지고 도망갔어. 너무 화가 나.	박 씨 할머니가 곗돈을 들고 도망가서 너무 화가 나시는군요.
아내 얼굴을 어떻게 봐야 하지? 이제 아내가 내 대소변을 받아주어야 하는데 너무 미안해.	아내 분에게 미안한 감정이 많이 느껴지시겠어요. 조금 더 자세히 말해주실 수 있나요?
나는 종신보험같은 건 많이 들지 않았어.	그렇군요? 그에 대한 이유는 뭔가요?
노후 자금을 부동산에 투자하라며 기획 부동산에서 계속 전화가 와.	너무 당황스러우시겠어요.
친구들을 만나기가 쉽지가 않아 슬퍼.	친구분이 아프시다니 무슨 일인가요?
급전이 필요해서 팔았던 아파트가 어느새 시세가 두 배가 되었네. 아이고.	더 비싸게 팔 수 있었을 텐데 낙담하였겠어요.
건강한 모습이 아니여서 남들이 쳐다보는거 같애.	많이 두려우시겠어요. 좋은 방법이 있을까요?
가을만 되면 밤에 잠을 못 자겠어.	가을만 되면 잠을 못 자는 이유가 있나요?
예전부터 친하던 영순 할머니한테 무슨 일이 있는지 벌써 삼 년째 연락이 안 되서 불안해.	친했던 영순 할머니가 연락이 안 되시군요.
정년퇴임하고 아픈 곳은 없지만 돈이 없어.	돈이 없으신가요.
지금 치매 병원에 다니는 게 자식들이 알면 나를 요양 병원으로 보낼 거야.	치매 병원에 다니는 걸 알면 자식들이 요양 병원에 보낼 거라고 생각하시는군요.
체중 때문에 밀가루 음식은 안 먹기로 했는데 그새 먹어버렸어. 어쩜 좋아.	끊기로 한 밀가루 음식을 먹어버려서 많이 속상하시겠네요.
요즈음 신문을 보면 눈이 침침해서 걱정이야.	신문을 보는데 눈이 침침해 어려움이 있으시군요.
저염식을 하는 것이 너무 괴로웠지만 이제는 익숙해져버렸어	왜 저염식을 하세요?
내게 어떤 어려움이 와도 이웃들이 곁에 있어서 괜찮아.	이웃들이 좋은 분들이신가봐요.
요새 너무 만족스러워.	그렇게 생각하시는 이유가 있나요?
내 친구가 나보다 더 잘 사는 것 같네.	속상하시겠어요. 어떻게 하면 기분이 편해지실까요?
평소 쓰던 안경을 썼는데도 신문이 보이지 않아. 짜증이 나서 안경을 부숴 버렸어.	안경을 썼는데도 신문이 보이지 않아서 당황스럽고 화가 나셨겠군요.
자식이 나를 보러 오지 않아. 차라리 옆집 영자네처럼 아프면 자식이 찾아올까?	찾아오지 않는 자식 때문에 고민이시군요. 많이 쓸쓸하시겠어요.
이 돈로는 노후 생활을 넉넉히 할수 없을거야. 이제 일을 할수도 없는데 어쩌지.	이런. 매우 초조해보이세요. 다른 계획이 있으시나요?
코로나 사태를 겪느라 사회적으로 신나는 일이 언제 있었나 싶네.	마지막으로 사회적으로 신나는 일이 언제 있었나요?
운동하기 너무 싫어.	운동이 힘드신가요?
남과 함께 가다가 구걸하는 사람을 보면 선뜻 돈을 주게 돼.	구걸하는 사람에게 쉽게 돈을 주시는군요.
친구 녀석들이 술자리에 나만 안불렀어.	친구들이 부르지 않아 속상하시겠어요.
병원 문병 다녀왔는데 친구가 많이 아프다네.	친구 건강이 많이 안 좋으셨나요?
동생이 돈을 빌려가서 생활비가 모잘라서 불편하고 화가나.	동생이 돈을 아직 안 돌려준 모양이네요.
아들이 내 병원비 때문에 돈을 많이 썼어.	아드님이 병원비 때문에 돈이 없으신가 봐요.
가장 친했던 친구의 생일이라 친구가 너무 보고 싶어서 슬퍼.	큰 아픔을 갖고 계시군요. 많이 힘드시겠어요.
돈을 넉넉히 모아두지 못해서 자식들에게 굉장히 미안해.	저축을 해놓지 않아 죄책감을 느끼시는 군요.
병원에서 내 병을 치료할수 없다더군. 아무리 돈이 많아도 쓸모없어.	기분이 좋지 않으실것같아요. 이제 어떻게 하실건가요?
암 판정을 받으니 아무 일도 못 하겠어.	그런 일이 있다니 슬프시겠어요.
나와 같은 병실에 있는 꼬마가 이제 건강해져서 퇴원을 한다고 인사를 했어.	꼬마가 이제 퇴원을 해서 마음이 놓였겠어요.
사람들을 만나면서 우울해.	왜 그러세요?
집안 내력인 당뇨 때문에 아들에게도 조심하라 주의를 주었는데 도무지 듣는 것 같지 않아 당황스러워.	아드님도 당뇨를 더 신경 쓰고 조심하길 바라는군요.
이번에 연금복권에 당첨됐는데 소문나는 게 무서워서 가족들에게도 비밀로 하고 있어.	복권 당첨을 비밀로 하고 있군요.
코로나 때문에 너무 우울해.	많이 우울하신가요?
며느리가 날 위해 식단에 공을 들여 줘서 너무 고마운 것 같아.	사용자님을 위해 정성을 들여 준다니 정말 고마울 것 같아요.
항암 치료하고 이 년 만에 돌아오는 집이 낯설고 다들 어색해할까 봐 긴장했어.	오랜만에 집으로 돌아가는 것이 어색하셨군요. 좀 더 자세히 말씀해 주시겠어요?
내 친구가 갑자기 세상을 떠나 당혹스러워.	상심이 크시겠어요.
딸 앞에서 내 초라한 몸뚱이에 수치심을 느꼈고 부끄러웠어.	딸 앞에서 수치심과 부끄러움을 느끼셨군요. 조금 더 자세히 말씀해 주시겠어요?
오래 사니까 돈이 없으면 안 되겠더라. 돈이 모자라서 짜증 나.	돈이 부족해서 속상하시군요.
피를 뽑아야 하는데 간호사가 서툴러서 그런 건지 주삿바늘을 여러 번 찔러.	서툰 간호사가 피를 한번에 뽑지 못하고 주사를 여러 번 놓고 있어서 아프겠어요.
오늘 병원에서 검사를 받았는데 너무 힘들었어.	병원에서 검사를 받으시느라 힘드셨군요.
혼자서 생활 하는데 내가 만약에 아프면 누가 날 지켜줄까.	외로우시겠어요. 언제부터 혼자 생활 하셨나요?
나이 먹고 혼자 사는 내모습이 너무 부끄러워.	혼자 사시는 모습이 부끄러우시군요.
남이 나에 대해서 지적하면 너무 소극적으로 행동하게 돼.	타인의 지적에 많이 취약하신 것 같네요. 어떻게 하면 더 강인해질 수 있을까요?
친구들이 여행 가자는데 못 가서 슬퍼.	친구들과 함께 여행을 못 가서 슬프시겠네요. 못 가는 이유가 있나요?
인터넷에서 관절염 예방에 좋다는 운동기구를 샀는데 사기여서 억울하고 혼란스러워.	운동기구를 샀는데 사기여서 혼란스러우시겠어요.
내 건강이 안 좋아져서 실망했어.	어떻게 안 좋아졌나요?
위암 때문에 내시경을 진행했는데 위에 퍼진 암 모습이 너무 혐오스러웠어	그래서 담배 술 하지말기를 권장하는거 같아요
친구에게서 저녁식사를 같이 하자고 전화가 왔어.	친구와 함께 저녁식사를 하게 되어 기분이 좋으시겠어요.
딸이 독립하고 나서는 집에 오지를 않네. 내가 보고 싶지도 않은가?	독립한 딸의 방문이 적어 속상하신가 봐요. 어떻게 하면 기분이 좀 나아질까요?
돈도 없는데 낚싯대를 아내 몰래 사버렸어.	몰래사셨군요. 아내분에겐 어떻게 말하시게요?
이 상태로 독거노인이 되어서 고독사할까봐 걱정이야.	왜 고독사할까봐 걱정이신건가요?
친구랑 다방에서 만나기로 했는데 왜 안오지? 연락도 안되니까 더 걱정되네.	걱정하고 계시군요? 평상시에도 이런적이 있으셨나요?
아무리 내나이가 육십이 넘고 병들었다고 해도 그렇지 너무하네.	무슨 일 있으셨나요?
내가 걸린 병이 고칠 수도 없는 병이라던데 이제껏 열심히 산게 뭐가 소용이 있겠어 나도 이제부터 나만 생각하는 이기적인 태도로 살아갈래.	지금 상황이 너무나도 힘드시겠군요. 하지만 지금까지 열심히 인생을 버텨준 것만으로도 대단하고 훌륭한 일 입니다.
뉴스를 보니 평균 수명이 늘어났다고 하는데 모아둔 돈이 얼마 없어 걱정이야.	재정에 대해 고민을 가지고 계시다니 많이 걱정스러우시겠어요.
딸을 위해 통장에 넣어둔 돈을 남편이 가져가서 다 써버렸어.	따님을 위한 돈을 남편이 다 써버려서 슬프시겠어요.
손녀가 많이 아프다고 하네.	많이 속상하시겠어요.
협심증으로 입원했는데 자식들이 일이 바쁘다며 병문안을 오지 않아서 속상해.	무심한 자제분들의 반응 때문에 많이 속상하시겠어요.
내가 암에 걸리고 나니까 남편이 나랑 이혼하고 다른 여자랑 재혼해서 너무 우울해.	암에 걸리고 나니 남편이 다른 여자랑 재혼을 하셨군요. 많이 실망하고 속상하시겠어요.
자식들이 날 한 사람이 아닌 그저 돈 덩어리로만 보는 것 같아서 슬퍼.	부모를 돈 때문에 찾는 자식 분들의 모습에 속상하신가 봐요.
골다공증 때문에 부러진 뼈가 아직도 안 붙었어.	부러진 뼈가 붙지 않아서 마음이 아프시겠어요.
가족들은 나만 보면 돈 얘기를 꼭 해. 그래서 연을 다 끊어버렸더니 마음이 너무 허전해.	가족들과 연을 끊게 되어 마음이 아프시군요.
요즘 건강 걱정이 많은데 더 큰 걱정이 생겼어. 와이프가 혼자 영양제를 숨겨서 먹고 있더라고.	아 그런 걱정이 있으시군요. 마음 상하셨겠어요.
알던 사람이 나와 같은 병으로 죽었대.	상심이 크시겠어요. 어떻게 해야 당신의 마음에 위로가 될까요?
지역 노인잔치에 갔는데 더 우울해졌어.	지역 노인잔치에 가셨군요. 좀 더 자세히 말씀해 주시겠어요?
건강에 열등감을 느껴.	많이 힘드시겠어요.
건강이 좋지 않은 편이지만 인명은 재천이라 생각하고 순리대로 받아들이고 있어.	노년에 건강에 대한 준비는 하고 계신지요?
당뇨 합병증을 막기위해 걷기와 유산소운동을 하루도 빠짐없이 하다보면 내자신이 막혀.	매일 걷기와 유산소운동을 하는건 정말 힘들겠어요.
이번 아내 병원비가 너무 많이 나와서 어떡하지?	매우 걱정스러우시겠어요. 어떤 상황인지 더 자세하게 말씀해주시겠어요?
수술비가 필요한데 이번에 적금이 만기되어서 다행이야.	수술비를 마련하셔서 안도하시나 봅니다. 적금 해약금으로 수술비가 전부 감당이 되시나요?
처남은 매번 왜 저렇게 투덜댈까? 내가 병상에 오래 있어서 아내가 고생이라며 한 소리 하는 게 너무 화가 나.	처남이 병상에 오래있어 아내가 고생이라며 투덜대서 화가 나셨군요.
